M11;M12;M13;M14;M21;M22;M23;M24;M31;M32;M33;M34;M41;M42;M43;M44
-0.998898203082524;2.8300774782439E-03;4.68441089142689E-02;-243.217421483669;-2.56373499376522E-03;-0.99998021192974;5.74482478709472E-03;-53.2479784122851;4.68594402589969E-02;5.61839927557759E-03;0.998885692383365;-32.6716265621362;0;0;0;1;
-0.998896117795812;3.47492321687587E-03;4.68451786323142E-02;-243.218152285873;-3.1322184120116E-03;-0.999967809379638;7.38711122890548E-03;-53.3186877144081;0.046869340301268;7.23222739725342E-03;0.998874846928582;-32.5876597245242;0;0;0;1;
-0.998893770155955;4.21095012306655E-03;4.68348571331496E-02;-243.217797539925;-3.77826229954955E-03;-0.999949399334431;9.32327757317782E-03;-53.4018982406872;0.046871747115051;9.13600951027109E-03;0.998859135540448;-32.4860491490417;0;0;0;1;
-0.998891630269875;5.04424191826915E-03;0.046798147402024;-243.216751129663;-4.50697397017935E-03;-0.999922804438162;1.15789615317218E-02;-53.4986228673868;4.68529418758707E-02;1.13552097290602E-02;0.998837254536286;-32.3670301409184;0;0;0;1;
-0.998890109407485;5.98051914481714E-03;4.67202602589196E-02;-243.214511147838;-5.32323613817648E-03;-0.999885285195541;1.41802541038161E-02;-53.6098719370866;0.046799706034546;1.39158125953916E-02;0.998807357639545;-32.2292288299668;0;0;0;1;
-0.998889476708773;7.02492286819558E-03;4.65882364891499E-02;-243.21131425548;-6.23150755220534E-03;-0.999833443780098;1.71538046059012E-02;-53.7366337429239;4.67009810828409E-02;1.68444399588271E-02;0.998766881313339;-32.0724544887034;0;0;0;1;
-0.998889817016997;8.18186161843667E-03;4.63917083130865E-02;-243.205927032016;-7.23567590209199E-03;-0.999763116506641;2.05269546491501E-02;-53.8799191851834;4.65486675855457E-02;2.01684906075079E-02;0.998712397806608;-31.8935569886125;0;0;0;1;
-0.99889092502841;9.45476022547109E-03;4.61251276959458E-02;-243.199248882815;-8.33876243081051E-03;-0.999669258930815;2.43277164945257E-02;-54.0406902260412;4.63398849481843E-02;2.39161087510984E-02;0.998639391775227;-31.6920652214467;0;0;0;1;
-0.998892313108506;1.08459407834221E-02;4.57876880969312E-02;-243.190169135021;-9.54274783704609E-03;-0.999545816095743;2.85849171629467E-02;-54.2199510032511;4.60769223848329E-02;2.81163136633606E-02;0.998542132375758;-31.4639621102888;0;0;0;1;
-0.998893143350783;1.23564691563889E-02;4.53850838577806E-02;-243.179844795491;-1.08482821955322E-02;-0.999385584691141;3.33281845432796E-02;-54.4186045752679;0.045769017251812;3.27989448234545E-02;0.998413454575944;-31.2104673024023;0;0;0;1;
-0.998892220470388;1.39860889883689E-02;4.49301813767545E-02;-243.168293916459;-1.22544310102009E-02;-0.999180061767092;3.85879914963938E-02;-54.6375609287432;4.54330364861832E-02;0.037994650701368;0.99824458211088;-30.9286421196248;0;0;0;1;
-0.998888161694444;1.57300816314807E-02;4.44410278747266E-02;-243.155447778972;-1.37554512689009E-02;-0.998919385259095;4.43942486588194E-02;-54.8777088693069;4.50913294002757E-02;4.37335830393434E-02;0.998025122793738;-30.6135619528068;0;0;0;1;
-0.998880218251668;1.75624267649391E-02;4.39302942356119E-02;-243.142261813549;-1.53245773386144E-02;-0.998592843610801;5.07689867801822E-02;-55.1393953563492;0.044760104053656;5.00389234038827E-02;0.997743774337724;-30.2667351295368;0;0;0;1;
-0.998868011130507;1.94470443546014E-02;4.34109295691349E-02;-243.128699671937;-0.016925431708445;-0.998189480992207;5.77173266705138E-02;-55.4223263506461;4.44547646677946E-02;5.69172425753233E-02;0.997388691231233;-29.8862092659838;0;0;0;1;
